Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Protein Localization To Chromosome (GO:0034502)	1/40	1.982523e-02	3.133665e-02	0	0	5.684046e+01	2.228601e+02	PLK1
GO_Biological_Process_2023	Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991)	1/40	1.982523e-02	3.133665e-02	0	0	5.684046e+01	2.228601e+02	FBXO5
GO_Biological_Process_2023	Regulation Of Microtubule-Based Process (GO:0032886)	1/41	2.031629e-02	3.185595e-02	0	0	5.541667e+01	2.159217e+02	AURKA
GO_Biological_Process_2023	Regulation Of Chromosome Organization (GO:0033044)	1/43	2.129777e-02	3.286899e-02	0	0	5.277249e+01	2.031294e+02	BUB1
GO_Biological_Process_2023	Positive Regulation Of Biomineral Tissue Development (GO:0070169)	1/43	2.129777e-02	3.286899e-02	0	0	5.277249e+01	2.031294e+02	FBXO5
GO_Biological_Process_2023	Positive Regulation Of Osteoblast Differentiation (GO:0045669)	1/44	2.178817e-02	3.336313e-02	0	0	5.154264e+01	1.972221e+02	FBXO5
GO_Biological_Process_2023	Mitotic Nuclear Division (GO:0140014)	1/45	2.227835e-02	3.358890e-02	0	0	5.036869e+01	1.916095e+02	PLK1
GO_Biological_Process_2023	Chromosome Organization (GO:0051276)	1/45	2.227835e-02	3.358890e-02	0	0	5.036869e+01	1.916095e+02	TOP2A
GO_Biological_Process_2023	Negative Regulation Of Cellular Metabolic Process (GO:0031324)	1/46	2.276831e-02	3.406557e-02	0	0	4.924691e+01	1.862708e+02	FBXO5
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	2/482	2.294644e-02	3.407198e-02	0	0	1.016146e+01	3.835536e+01	PLK1;CDK1
GO_Biological_Process_2023	Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796)	1/47	2.325805e-02	3.427502e-02	0	0	4.817391e+01	1.811871e+02	AURKA
GO_Biological_Process_2023	Microtubule Bundle Formation (GO:0001578)	1/51	2.521481e-02	3.688136e-02	0	0	4.431111e+01	1.630792e+02	PLK1
GO_Biological_Process_2023	Regulation Of Proteolysis (GO:0030162)	1/52	2.570344e-02	3.731759e-02	0	0	4.344009e+01	1.590398e+02	PLK1
GO_Biological_Process_2023	Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029)	1/53	2.619186e-02	3.774709e-02	0	0	4.260256e+01	1.551716e+02	CCNB2
GO_Biological_Process_2023	Negative Regulation Of Protein Ubiquitination (GO:0031397)	1/54	2.668006e-02	3.817001e-02	0	0	4.179665e+01	1.514643e+02	FBXO5
GO_Biological_Process_2023	Positive Regulation Of Cellular Metabolic Process (GO:0031325)	1/56	2.765579e-02	3.927923e-02	0	0	4.027273e+01	1.444953e+02	CDK1
GO_Biological_Process_2023	Peptidyl-Threonine Phosphorylation (GO:0018107)	1/58	2.863064e-02	4.008289e-02	0	0	3.885575e+01	1.380653e+02	CDK1
GO_Biological_Process_2023	Positive Regulation Of Mitochondrion Organization (GO:0010822)	1/58	2.863064e-02	4.008289e-02	0	0	3.885575e+01	1.380653e+02	AURKA
GO_Biological_Process_2023	Positive Regulation Of Proteolysis (GO:0045862)	1/59	2.911773e-02	4.019067e-02	0	0	3.818391e+01	1.350339e+02	PLK1
GO_Biological_Process_2023	Regulation Of Multicellular Organismal Development (GO:2000026)	1/59	2.911773e-02	4.019067e-02	0	0	3.818391e+01	1.350339e+02	CDK1
GO_Biological_Process_2023	Regulation Of Embryonic Development (GO:0045995)	1/62	3.057770e-02	4.191070e-02	0	0	3.630055e+01	1.265976e+02	CDK1
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle (GO:0045787)	1/65	3.203569e-02	4.360414e-02	0	0	3.459375e+01	1.190338e+02	AURKA
GO_Biological_Process_2023	Peptidyl-Threonine Modification (GO:0018210)	1/66	3.252125e-02	4.395976e-02	0	0	3.405983e+01	1.166843e+02	CDK1
GO_Biological_Process_2023	DNA-templated DNA Replication (GO:0006261)	1/69	3.397661e-02	4.561244e-02	0	0	3.255229e+01	1.100945e+02	MCM10
GO_Biological_Process_2023	Negative Regulation Of Protein Binding (GO:0032091)	1/71	3.494576e-02	4.627952e-02	0	0	3.161905e+01	1.060490e+02	AURKA
GO_Biological_Process_2023	Negative Regulation Of Supramolecular Fiber Organization (GO:1902904)	1/71	3.494576e-02	4.627952e-02	0	0	3.161905e+01	1.060490e+02	TPX2
GO_Biological_Process_2023	DNA Replication (GO:0006260)	1/73	3.591403e-02	4.724262e-02	0	0	3.073765e+01	1.022527e+02	CDK1
GO_Biological_Process_2023	Regulation Of DNA Replication (GO:0006275)	1/75	3.688143e-02	4.819173e-02	0	0	2.990390e+01	9.868429e+01	FBXO5
GO_Biological_Process_2023	Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901)	1/80	3.929610e-02	5.095792e-02	0	0	2.800422e+01	9.063930e+01	PLK1
GO_Biological_Process_2023	Spindle Assembly (GO:0051225)	1/81	3.977838e-02	5.095792e-02	0	0	2.765278e+01	8.916450e+01	TPX2
GO_Biological_Process_2023	Activation Of Protein Kinase Activity (GO:0032147)	1/81	3.977838e-02	5.095792e-02	0	0	2.765278e+01	8.916450e+01	TPX2
GO_Biological_Process_2023	Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436)	1/83	4.074228e-02	5.151927e-02	0	0	2.697561e+01	8.633514e+01	PLK1
GO_Biological_Process_2023	Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060)	1/83	4.074228e-02	5.151927e-02	0	0	2.697561e+01	8.633514e+01	PLK1
GO_Biological_Process_2023	Positive Regulation Of Protein Ubiquitination (GO:0031398)	1/84	4.122391e-02	5.173571e-02	0	0	2.664926e+01	8.497749e+01	PLK1
GO_Biological_Process_2023	Negative Regulation Of Cell Cycle (GO:0045786)	1/85	4.170532e-02	5.173571e-02	0	0	2.633069e+01	8.365593e+01	PLK1
GO_Biological_Process_2023	Regulation Of Osteoblast Differentiation (GO:0045667)	1/85	4.170532e-02	5.173571e-02	0	0	2.633069e+01	8.365593e+01	FBXO5
GO_Biological_Process_2023	Negative Regulation Of Binding (GO:0051100)	1/86	4.218651e-02	5.200350e-02	0	0	2.601961e+01	8.236910e+01	AURKA
GO_Biological_Process_2023	Positive Regulation Of Proteasomal Protein Catabolic Process (GO:1901800)	1/90	4.410910e-02	5.403365e-02	0	0	2.484519e+01	7.754406e+01	PLK1
GO_Biological_Process_2023	MAPK Cascade (GO:0000165)	1/98	4.794387e-02	5.836645e-02	0	0	2.278694e+01	6.922045e+01	CDK1
GO_Biological_Process_2023	Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434)	1/109	5.319406e-02	6.435825e-02	0	0	2.045473e+01	6.001027e+01	PLK1
GO_Biological_Process_2023	Protein Deubiquitination (GO:0016579)	1/112	5.462140e-02	6.527924e-02	0	0	1.989890e+01	5.785265e+01	CDK1
GO_Biological_Process_2023	Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)	1/112	5.462140e-02	6.527924e-02	0	0	1.989890e+01	5.785265e+01	CCNB2
GO_Biological_Process_2023	Protein Modification By Small Protein Removal (GO:0070646)	1/114	5.557189e-02	6.601267e-02	0	0	1.954474e+01	5.648582e+01	CDK1
GO_Biological_Process_2023	Positive Regulation Of Cell Cycle Process (GO:0090068)	1/118	5.747028e-02	6.785648e-02	0	0	1.887274e+01	5.390976e+01	AURKA
GO_Biological_Process_2023	Protein Localization To Nucleus (GO:0034504)	1/122	5.936524e-02	6.967417e-02	0	0	1.824518e+01	5.152523e+01	PLK1
GO_Biological_Process_2023	Regulation Of DNA Metabolic Process (GO:0051052)	1/124	6.031143e-02	7.036333e-02	0	0	1.794670e+01	5.039854e+01	FBXO5
GO_Biological_Process_2023	Golgi Organization (GO:0007030)	1/130	6.314486e-02	7.323310e-02	0	0	1.710680e+01	4.725453e+01	CDK1
GO_Biological_Process_2023	Epithelial Cell Differentiation (GO:0030855)	1/132	6.408763e-02	7.388927e-02	0	0	1.684394e+01	4.627878e+01	CDK1
GO_Biological_Process_2023	Positive Regulation Of Transferase Activity (GO:0051347)	1/143	6.925762e-02	7.938300e-02	0	0	1.553052e+01	4.146527e+01	PLK1
GO_Biological_Process_2023	Positive Regulation Of Protein Kinase Activity (GO:0045860)	1/145	7.019485e-02	7.998948e-02	0	0	1.531327e+01	4.067941e+01	TPX2
GO_Biological_Process_2023	Regulation Of Cellular Component Organization (GO:0051128)	1/153	7.393528e-02	8.376483e-02	0	0	1.450146e+01	3.777000e+01	AURKA
GO_Biological_Process_2023	Epithelium Development (GO:0060429)	1/154	7.440189e-02	8.380902e-02	0	0	1.440595e+01	3.743062e+01	CDK1
GO_Biological_Process_2023	Protein Autophosphorylation (GO:0046777)	1/162	7.812708e-02	8.750233e-02	0	0	1.368461e+01	3.488780e+01	AURKA
GO_Biological_Process_2023	Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	1/186	8.922186e-02	9.936071e-02	0	0	1.189489e+01	2.874555e+01	AURKA
GO_Biological_Process_2023	Positive Regulation Of Protein Metabolic Process (GO:0051247)	1/196	9.380910e-02	1.038790e-01	0	0	1.127920e+01	2.669216e+01	PLK1
GO_Biological_Process_2023	Cilium Organization (GO:0044782)	1/228	1.083489e-01	1.193055e-01	0	0	9.673519e+00	2.149842e+01	AURKA
GO_Biological_Process_2023	Positive Regulation Of Programmed Cell Death (GO:0043068)	1/245	1.159875e-01	1.270030e-01	0	0	8.991803e+00	1.937080e+01	TOP2A
GO_Biological_Process_2023	Positive Regulation Of Apoptotic Process (GO:0043065)	1/270	1.271137e-01	1.384127e-01	0	0	8.145808e+00	1.680214e+01	TOP2A
GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	1/272	1.279983e-01	1.386059e-01	0	0	8.084871e+00	1.662038e+01	FBXO5
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	1/283	1.328493e-01	1.430685e-01	0	0	7.765169e+00	1.567430e+01	FBXO5
GO_Biological_Process_2023	DNA Repair (GO:0006281)	1/291	1.363621e-01	1.460490e-01	0	0	7.547893e+00	1.503873e+01	CDK1
GO_Biological_Process_2023	Regulation Of Intracellular Signal Transduction (GO:1902531)	1/297	1.389883e-01	1.480527e-01	0	0	7.392643e+00	1.458839e+01	AURKA
GO_Biological_Process_2023	Negative Regulation Of Gene Expression (GO:0010629)	1/336	1.558839e-01	1.651527e-01	0	0	6.519071e+00	1.211663e+01	AURKA
GO_Biological_Process_2023	Protein Modification By Small Protein Conjugation (GO:0032446)	1/364	1.678294e-01	1.768525e-01	0	0	6.007652e+00	1.072250e+01	PLK1
GO_Biological_Process_2023	Positive Regulation Of Protein Phosphorylation (GO:0001934)	1/377	1.733237e-01	1.816654e-01	0	0	5.796099e+00	1.015821e+01	PLK1
GO_Biological_Process_2023	Organelle Organization (GO:0006996)	1/418	1.904385e-01	1.985422e-01	0	0	5.215294e+00	8.649180e+00	KIF4A
GO_Biological_Process_2023	Protein Ubiquitination (GO:0016567)	1/434	1.970304e-01	2.043279e-01	0	0	5.018476e+00	8.151997e+00	PLK1
GO_Biological_Process_2023	Positive Regulation Of Cell Population Proliferation (GO:0008284)	1/483	2.169190e-01	2.237690e-01	0	0	4.497003e+00	6.872462e+00	FBXO5
GO_Biological_Process_2023	Positive Regulation Of Cellular Process (GO:0048522)	1/594	2.603425e-01	2.671577e-01	0	0	3.634439e+00	4.891072e+00	FBXO5
GO_Biological_Process_2023	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	1/763	3.223038e-01	3.283865e-01	0	0	2.803733e+00	3.174557e+00	PLK1
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	1/766	3.233602e-01	3.283865e-01	0	0	2.792302e+00	3.152477e+00	FBXO5
GO_Biological_Process_2023	Negative Regulation Of DNA-templated Transcription (GO:0045892)	1/1025	4.091660e-01	4.133842e-01	0	0	2.057943e+00	1.839048e+00	PLK1
GO_Biological_Process_2023	Regulation Of Gene Expression (GO:0010468)	1/1127	4.401760e-01	4.424333e-01	0	0	1.861456e+00	1.527475e+00	AURKA
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1/2028	6.567940e-01	6.567940e-01	0	0	9.846516e-01	4.139326e-01	PLK1
